student_id,first_name,last_name,date_of_birth,gender,address,phone_number,email,age,enrollment_date
124,Kristina,Chen,2012-10-10,M,"688 Melissa Cliffs Apt. 982
South Emilyton, OR 15278",001-402-232-4126x385,kristina_chen@gmail.com,13,2025-01-10
125,Denise,Patterson,2009-05-23,M,"4601 Carol Divide
East Anna, AS 91378",001-274-471-8208,denise.patterson@gmail.com,16,2025-08-19
126,Kevin,Benjamin,2009-06-06,X,"57390 Jesse Court
Deleonstad, RI 95227",716.473.3351x0427,kevin_benjamin@gmail.com,16,2025-09-16
127,Steven,George,2008-04-22,M,"150 Kyle Creek
South Keithberg, MD 13430",626.508.8518,steven.george@gmail.com,17,2025-10-10
128,Jessica,Todd,2009-05-15,M,"0832 Jeffery Dale
Glenberg, WY 70194",(656)601-4085,jessica.todd@gmail.com,16,2025-03-17
129,Randall,Kelly,2007-06-07,F,"33279 Mark Hill Apt. 795
Bentonchester, SD 22303",611-436-2440x16631,randall.kelly@gmail.com,18,2025-04-07
130,Patrick,Wallace,2007-01-18,F,"40875 Heather Loop
Port Lindaport, OK 37867",228.465.3703x50791,patrick_wallace@gmail.com,18,2025-06-03
131,Catherine,Hart,2010-03-28,F,"USNV Wells
FPO AE 01475",879.460.6108,catherine_hart@gmail.com,15,2025-06-06
132,Michael,Solis,2009-06-24,X,"702 Miller Plains
Donaldsonborough, MN 10970",2716169943,michael_solis@gmail.com,16,2025-01-05
133,Christina,Ramirez,2008-12-19,X,"48411 Ronald Mews Apt. 118
Maryton, NM 11128",354.400.2944x592,christina.ramirez@gmail.com,16,2025-03-22
134,Matthew,Fischer,2011-05-20,M,"5864 Joshua Port Suite 862
South Jennyport, IA 93517",001-512-528-6316x8396,matthew.fischer@gmail.com,14,2025-10-04
135,Brandon,Rodriguez,2012-12-24,F,"5584 Hill Roads
Christineport, IN 03523",953-653-4079,brandon_rodriguez@gmail.com,12,2025-01-30
136,Cathy,Rocha,2009-09-14,X,"PSC 9337, Box 3078
APO AP 03998",511-369-2351x1012,cathy_rocha@gmail.com,16,2025-05-08
137,Kristen,Montgomery,2007-04-02,F,"78028 Harris Stravenue
Christinachester, IL 43350",001-275-341-0860x485,kristen_montgomery@gmail.com,18,2025-07-04
138,Ashley,Roberts,2010-01-05,F,"703 Regina Road
Lawrenceshire, MD 47219",(677)878-8302x2772,ashley_roberts@gmail.com,15,2025-09-24
139,Marcus,Allen,2011-08-10,F,"USCGC Ballard
FPO AP 09279",(655)505-6876x1937,marcus.allen@gmail.com,14,2025-04-21
140,Bethany,Taylor,2012-11-03,X,"41763 Higgins Loop Suite 407
Port Jackside, SD 88670",+1-876-952-1146x0146,bethany_taylor@gmail.com,12,2025-08-04
141,Brian,Cruz,2011-03-03,F,"38318 Marcus Flats
Cooktown, DE 41613",462-613-3307,brian.cruz@gmail.com,14,2025-04-02
142,Kyle,Gallegos,2009-05-11,F,"601 Micheal Mills
Harrisborough, MS 90445",(816)221-1919,kyle_gallegos@gmail.com,16,2025-02-13
143,Maria,Hicks,2009-05-28,F,"47746 Thompson Spurs Suite 451
South Mirandastad, MP 06381",+1-439-613-7427,maria_hicks@gmail.com,16,2025-10-06
144,Katherine,Walker,2010-03-14,M,"750 Stephanie Plain Suite 215
Port Deborah, SD 83419",565.236.3934x1079,katherine.walker@gmail.com,15,2025-04-26
145,Carolyn,Anderson,2011-06-26,M,"8835 Woods Stravenue
Wilsonchester, AL 42947",(561)215-5307,carolyn_anderson@gmail.com,14,2025-03-04
146,Mark,Cherry,2010-10-07,F,"3874 Hale Road
North Kevin, CO 03918",+1-484-917-3469,mark.cherry@gmail.com,15,2025-05-01
147,James,Wilson,2010-06-27,M,"2006 Michelle Green Apt. 714
South Stephanie, NM 45511",(856)782-8915x23599,james_wilson@gmail.com,15,2025-07-28
148,Anthony,Davis,2010-10-07,F,"39091 John Glen Suite 867
Garciamouth, WY 01110",(214)656-9811,anthony_davis@gmail.com,15,2025-03-11
149,Michelle,Wang,2012-01-27,X,"3841 Williams Summit Suite 117
West Lonnie, DE 80664",(380)820-2578,michelle_wang@gmail.com,13,2025-08-21
150,Susan,Rojas,2010-10-02,F,"Unit 2087 Box 7745
DPO AE 44580",607-330-0905,susan.rojas@gmail.com,15,2025-04-10
151,James,Gutierrez,2008-08-20,M,"11646 Frank Crossing
Monicaside, TX 48377",001-475-856-5165x1336,james.gutierrez@gmail.com,17,2025-06-04
152,Ryan,Kennedy,2012-12-06,F,"USCGC Rich
FPO AE 07315",001-657-513-4610x355,ryan_kennedy@gmail.com,12,2025-01-12
153,William,Brown,2008-01-28,X,"83234 David Burg
New Darrylmouth, OR 48999",001-558-951-8365x9043,william.brown@gmail.com,17,2025-02-07
154,Shannon,Fisher,2008-09-25,M,"63046 Cheryl Track
Hunterburgh, PR 84253",367.706.8295x90364,shannon_fisher@gmail.com,17,2025-09-10
155,Amy,Carter,2008-09-25,F,"2013 Perry Fall
North Jose, MO 29153",(489)695-1669x24638,amy.carter@gmail.com,17,2025-06-30
156,Patricia,Santos,2007-03-09,X,"5685 Jose Points
Mollyshire, MD 86973",001-712-383-0212x07433,patricia.santos@gmail.com,18,2025-05-14
157,Michelle,Cook,2012-10-02,X,"Unit 8964 Box 8203
DPO AA 66288",(632)956-5352,michelle_cook@gmail.com,13,2025-05-16
158,Kevin,Ryan,2012-06-13,X,"080 Christopher Throughway Apt. 918
Kimberlyberg, MI 44739",942-304-4211x27816,kevin.ryan@gmail.com,13,2025-03-29
159,Lisa,Campbell,2011-05-06,X,"35981 Brandon Grove
Rodrigueztown, PW 06317",8623991477,lisa.campbell@gmail.com,14,2025-03-16
160,Madison,Conner,2007-01-11,M,"45370 Daugherty Village
North Courtneystad, PA 97326",001-565-820-1178,madison_conner@gmail.com,18,2025-07-22
161,Amy,Armstrong,2009-06-07,F,"767 Thompson Lakes
Rasmussenport, OH 08318",(586)261-5219x72948,amy_armstrong@gmail.com,16,2025-01-20
162,Richard,Levine,2012-01-05,X,"04981 Gina Station Apt. 717
Cynthiaville, GA 79787",(751)739-9450,richard.levine@gmail.com,13,2025-07-01
163,Vanessa,Garcia,2010-08-07,F,"7763 Kari Points Suite 486
Lake Stevenstad, VA 21851",001-260-415-0280x00249,vanessa_garcia@gmail.com,15,2025-03-17
164,Mary,Martinez,2011-04-25,M,"8424 Sarah Rest
Port Brandi, WI 22300",587-908-6982,mary.martinez@gmail.com,14,2025-08-11
165,Chloe,Lambert,2008-03-15,X,"7583 Keith Ville Suite 998
East Aaron, NV 95700",(430)825-1286,chloe.lambert@gmail.com,17,2025-08-10
166,Holly,Michael,2011-06-12,M,"772 Weaver Extension
West Mariaville, GU 96200",793-421-1086x4792,holly.michael@gmail.com,14,2025-02-27
167,Matthew,Schaefer,2007-09-02,F,"36024 Christopher Forest
Campbellside, IN 14132",388-525-5298,matthew.schaefer@gmail.com,18,2025-03-11
168,Rebekah,Edwards,2011-05-02,M,"26828 Pamela Dale Apt. 310
Dennismouth, SC 98779",(764)898-1465,rebekah.edwards@gmail.com,14,2025-01-12
169,Michael,Hoffman,2011-05-21,F,"83877 Johnson Keys
Lake Christine, KY 83611",470-388-3261,michael.hoffman@gmail.com,14,2025-07-30
170,Jamie,Murphy,2012-02-06,F,"228 Harry Plaza
North Eric, OK 49407",283-352-9954x96955,jamie.murphy@gmail.com,13,2025-09-10
171,Jamie,Ewing,2009-06-15,X,"7022 Smith Ports Apt. 847
East Tammychester, ME 48863",(542)252-5097,jamie.ewing@gmail.com,16,2025-02-23
172,Jennifer,Nelson,2009-11-24,X,"USNS Hamilton
FPO AE 96379",563.604.5407,jennifer.nelson@gmail.com,15,2025-08-07
173,Sean,Thomas,2010-03-27,F,"45741 Christopher Glens
Deniseville, GA 89662",555-810-3868,sean_thomas@gmail.com,15,2025-07-07
174,Stephanie,Hill,2007-11-19,M,"968 Tiffany Fall Apt. 090
South Stephanie, AZ 26044",948-298-0105x58150,stephanie_hill@gmail.com,17,2025-02-24
175,Marissa,Kim,2007-09-07,F,"8339 Williams Court Apt. 287
Port Jacobtown, GA 31423",392.210.8815,marissa.kim@gmail.com,18,2025-05-28
176,Kimberly,Powell,2009-11-01,X,"90710 Joseph Summit
Port Jamestown, OH 78458",874-385-0095x047,kimberly.powell@gmail.com,15,2025-02-28
177,William,Bishop,2008-12-20,M,"1458 Walker Lodge
Danielborough, OR 51683",001-433-910-4642x3920,william.bishop@gmail.com,16,2025-04-23
