teacher_id,first_name,last_name,hire_date,email,phone_number,salary
48,Julie,Schultz,2023-02-03,Julie_Schultz@northwood.com,001-439-838-0036x653,81186.22
49,Heidi,Brown,2022-11-18,Heidi_Brown@northwood.com,946-648-4211x54416,52882.59
50,Alan,Parker,2023-04-06,Alan_Parker@northwood.com,684-736-6826x9418,65078.28
51,April,Larson,2025-02-02,April.Larson@northwood.com,+1-762-624-3524x6107,80762.19
52,Joseph,Bowman,2023-02-09,Joseph.Bowman@northwood.com,394.201.6811,88500.04
53,Mike,Hernandez,2024-05-19,Mike.Hernandez@northwood.com,(486)756-6863,92358.06
54,Victoria,Green,2025-09-24,Victoria_Green@northwood.com,435.770.4252,52770.28
55,Kenneth,Johnson,2021-09-20,Kenneth_Johnson@northwood.com,+1-589-987-7457,91723.38
56,Matthew,Horn,2020-08-16,Matthew_Horn@northwood.com,458-970-6269x72119,74417.31
57,Cynthia,Brown,2023-10-22,Cynthia_Brown@northwood.com,951-272-9303x865,114016.52
58,Anthony,Cruz,2023-01-09,Anthony_Cruz@northwood.com,+1-749-215-3446x272,105542.97
59,Christina,Sanchez,2023-06-07,Christina_Sanchez@northwood.com,572-245-5747x850,79506.77
60,John,Freeman,2023-03-30,John.Freeman@northwood.com,001-477-800-9119x69944,50808.32
61,Allison,Weaver,2020-02-06,Allison_Weaver@northwood.com,001-412-933-7441x2515,77333.23
62,Heather,Tucker,2020-11-25,Heather.Tucker@northwood.com,495.221.2950x6620,53228.99
63,Matthew,Wright,2021-08-21,Matthew.Wright@northwood.com,871-503-2649,91302.44
64,Selena,Wise,2025-09-24,Selena.Wise@northwood.com,854.738.0848,108233.8
65,Alan,Mendez,2020-07-27,Alan.Mendez@northwood.com,(612)472-6320,107223.5
66,Theresa,Gilmore,2024-02-16,Theresa_Gilmore@northwood.com,001-467-346-6358x1041,101850.81
67,Jody,Murillo,2022-07-02,Jody.Murillo@northwood.com,+1-341-370-4026x47477,67482.08
68,Kylie,Miller,2024-02-22,Kylie.Miller@northwood.com,001-619-607-5779x660,50533.46
69,Lisa,Wood,2020-02-11,Lisa_Wood@northwood.com,+1-805-276-5995x3748,105203.25
70,Marisa,Bush,2025-08-04,Marisa.Bush@northwood.com,703.655.5437x62398,85547.31
71,Richard,Baker,2023-02-11,Richard_Baker@northwood.com,458-892-4248,50377.67
72,Jennifer,Poole,2025-09-01,Jennifer_Poole@northwood.com,001-214-234-6017,81558.08
73,Misty,Morris,2023-11-06,Misty_Morris@northwood.com,001-968-315-3679x290,87601.94
74,Natalie,Kennedy,2022-08-01,Natalie_Kennedy@northwood.com,618.287.0067,102988.27
75,Roger,Harris,2024-11-10,Roger_Harris@northwood.com,001-697-914-3122x0236,74481.42
